Id,BankId,Afid,DivisionName,SubstationName,BankName,CircuitName,LastChangedBy,DateRevised,CedsaId,CORRECTED CEDSA ID,OperatingVoltageId,SummerLoadFactorId,WinterLoadFactorId,LocationId,SummerNormalOperationalCapabilityAmps,SummerNormalOperationalCapabilityMva,SummerNormalOperationalCapabilityMw,SummerNormalPlanningCapabilityAmps,SummerNormalPlanningCapabilityMva,SummerNormalPlanningCapabilityMw,SummerEmergencyOperationalCapabilityAmps,SummerEmergencyOperationalCapabilityMva,SummerEmergencyOperationalCapabilityMw,SummerEmergencyPlanningCapabilityAmps,SummerEmergencyPlanningCapabilityMva,SummerEmergencyPlanningCapabilityMw,WinterNormalOperationalCapabilityAmps,WinterNormalOperationalCapabilityMva,WinterNormalOperationalCapabilityMw,WinterNormalPlanningCapabilityAmps,WinterNormalPlanningCapabilityMva,WinterNormalPlanningCapabilityMw,WinterEmergencyOperationalCapabilityAmps,WinterEmergencyOperationalCapabilityMva,WinterEmergencyOperationalCapabilityMw,WinterEmergencyPlanningCapabilityAmps,WinterEmergencyPlanningCapabilityMva,WinterEmergencyPlanningCapabilityMw,Notes,TransformerNotes,TransformerDerate,TransformerPlo,TransformerSummerNormalAmps,TransformerSummerEmergencyAmps,TransformerWinterNormalAmps,TransformerWinterEmergencyAmps,DmsGuid
6737,4590,{8D89850A-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1108,PGE\DMAL,2017-04-14 15:15:16.3924072 -07:00,022011108,083631110,7,3,3,2,421,9.09,9,421,9.09,9,518,11.19,11.08,518,11.19,11.08,434,9.37,9.28,434,9.37,9.28,551,11.9,11.78,551,11.9,11.78,,,FALSE,FALSE,3000,3000,3000,3000,{3E505B29-1677-4E8A-8461-BCFA5A45957A}
6740,4590,{8D898528-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1109,PGE\DMAL,2017-04-14 15:05:42.2582466 -07:00,0220101109,083631111,7,3,3,2,517,11.17,11.06,517,11.17,11.06,600,12.96,12.83,600,12.96,12.83,527,11.38,11.27,527,11.38,11.27,600,12.96,12.83,600,12.96,12.83,"Branch SW-47088 - X1109A and Branch SW-38416 - X1109B are each limited by 500T, 6ELC (SN=320, SE=355, WN=330, WE=366).
X1109B serves MUNI Civic Center Station.",,FALSE,FALSE,3000,3000,3000,3000,{88A4E1E8-4C7A-4B14-8846-D762D8641FDA}
6741,4590,{8D89852B-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1110,PGE\DMAL,2017-04-14 15:14:50.0748698 -07:00,022011110,083631112,7,3,3,2,421,9.09,9,421,9.09,9,518,11.19,11.08,518,11.19,11.08,434,9.37,9.28,434,9.37,9.28,551,11.9,11.78,551,11.9,11.78,,,FALSE,FALSE,3000,3000,3000,3000,{5B1E48E0-0781-44E3-B34E-A53A944EA3F2}
6742,4590,{8D898537-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1111,PGE\DMAL,2017-04-14 15:19:07.1817660 -07:00,0220101111,252171102,7,3,3,2,517,11.17,11.06,517,11.17,11.06,600,12.96,12.83,600,12.96,12.83,527,11.38,11.27,527,11.38,11.27,600,12.96,12.83,600,12.96,12.83,,,FALSE,FALSE,3000,3000,3000,3000,{3BBCF9B8-15F0-492A-BAF1-B7491C31BE46}
6743,4590,{8D89853C-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1113,PGE\DMAL,2017-04-14 15:22:22.9330756 -07:00,0220101113,252171117,7,3,3,2,320,6.91,6.84,320,6.91,6.84,355,7.67,7.59,355,7.67,7.59,330,7.13,7.06,330,7.13,7.06,366,7.91,7.83,366,7.91,7.83,,,FALSE,FALSE,3000,3000,3000,3000,{76ABD245-7167-457B-A2FC-8CBE367F6E63}
6744,4590,{8D898545-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1116,PGE\DMAL,2017-04-14 15:25:21.2277614 -07:00,022011116,082031106,7,3,3,2,455,9.83,9.73,455,9.83,9.73,529,11.43,11.32,529,11.43,11.32,464,10.02,9.92,464,10.02,9.92,540,11.66,11.54,540,11.66,11.54,,,FALSE,FALSE,3000,3000,3000,3000,{4E223C7B-766F-48C1-AC37-1A4AF307A795}
6745,4590,{9402A852-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1118,PGE\DMAL,2017-04-14 15:28:56.7289242 -07:00,022011118,082031107,7,3,3,2,390,8.42,8.34,390,8.42,8.34,480,10.37,10.27,480,10.37,10.27,402,8.68,8.59,402,8.68,8.59,486,10.5,10.4,486,10.5,10.4,"Standby MUNI Carl Station (ATS 152D/252D) - 50amp
Normal source to MUNI Judah Station.",,FALSE,FALSE,3000,3000,3000,3000,{5BF1FE46-F585-4DF4-ACC4-C74CFE28668B}
6746,4590,{9402A857-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1120,PGE\DMAL,2017-04-14 15:32:57.9080162 -07:00,022011120,082031108,7,3,3,2,480,10.37,10.27,480,10.37,10.27,559,12.07,11.95,559,12.07,11.95,490,10.58,10.47,490,10.58,10.47,570,12.31,12.19,570,12.31,12.19,"Standby MUNI Civic Center Station (ATS 152A/252A) - 80amp.
Feeder will become standby for CentralSubway Chinatown Station.",,FALSE,FALSE,3000,3000,3000,3000,{E3F63943-4E96-4C6A-AF9D-E305304603AD}
6747,4590,{9402A85A-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1124,PGE\DMAL,2017-04-14 15:35:55.5942942 -07:00,022011124,082031109,7,3,3,2,481,10.39,10.29,481,10.39,10.29,592,12.79,12.66,592,12.79,12.66,495,10.69,10.58,495,10.69,10.58,599,12.94,12.81,599,12.94,12.81,,,FALSE,FALSE,3000,3000,3000,3000,{AD9EE46B-E1B5-4CD4-8B10-414365BAC64C}
6748,4590,{9402A85F-78E2-11E5-8C7B-9CB70D532D7F},SAN FRANCISCO,MISSION (SF X),12kv Bus Section E,CB 1125,PGE\DMAL,2017-04-14 15:42:20.0456230 -07:00,022011125,082031110,7,3,3,2,555,11.99,11.87,555,11.99,11.87,600,12.96,12.83,600,12.96,12.83,566,12.22,12.1,566,12.22,12.1,600,12.96,12.83,600,12.96,12.83,"Branch SW-18010 - 500EPRc, ELC = 2 (SN=513, SE=601, WN=523, WE=613). 
Branch SW-18008 - 500T, ELC = 3 (SN=360, SE=400, WN=371, WE=412). Branch SW-18008 has very old former FI-1 cable.",,FALSE,FALSE,3000,3000,3000,3000,{B9569071-C631-41B5-8EE3-D3E8203DD54D}
6750,4606,{8D298968-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,GERBER,Bank 1,CB 1101,PGE\C8M4,2017-04-18 15:47:19.4978167 -07:00,1033901101,082031111,8,3,3,1,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,,,FALSE,FALSE,429,558,515,601,{213B09BB-F31D-499B-8B6D-7AFBC735BA35}
6751,4606,{8D29897F-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,GERBER,Bank 1,CB 1102,PGE\C8M4,2017-04-18 15:47:07.6104643 -07:00,1033901102,082031112,8,3,3,1,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,333,7.27,7.2,,,FALSE,FALSE,429,558,515,601,{A1B7D111-15A0-4869-8D47-648F72507460}
7750,4608,{A6861CA2-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,RED BLUFF,Bank 1,CB 1103,PGE\CTD7,2017-04-19 17:04:20.4565299 -07:00,1035401103,082031113,8,3,3,1,515,11.24,11.13,489,10.67,10.56,578,12.61,12.48,549,11.98,11.86,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,1374,1787,1649,2061,{EBC4BD52-C146-401B-8AD3-EC408AF99D21}
7751,4608,{A6861CAB-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,RED BLUFF,Bank 1,CB 1104,PGE\CTD7,2017-04-19 17:04:29.0537278 -07:00,1035401104,082031114,8,3,3,1,515,11.24,11.13,489,10.67,10.56,578,12.61,12.48,549,11.98,11.86,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,600,13.09,12.96,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,1374,1787,1649,2061,{B9E68A96-25CD-492B-9C47-B2543FD10BEA}
7754,4607,{A6861CFB-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,RED BLUFF,Bank 3,CB 1101,PGE\CTD7,2017-04-19 17:09:13.7442412 -07:00,1035401101,022091102,8,3,3,1,51,1.11,1.1,51,1.11,1.1,54,1.18,1.17,54,1.18,1.17,56,1.22,1.21,56,1.22,1.21,60,1.31,1.3,60,1.31,1.3,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,51,54,56,60,{9C26C82A-7811-4182-970D-35E6B52AEA05}
7755,4607,{A6861D0B-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,RED BLUFF,Bank 3,CB 1102,PGE\JZ1S,2017-06-29 13:02:09.7211301 -07:00,1035401102,022091101,8,3,3,1,429,9.36,9.27,429,9.36,9.27,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,429,558,515,644,{50438BD4-048E-4839-BD18-8CC8175347EB}
7757,4609,{80988EF7-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,BANGOR,Bank 1,CB 1101,PGE\CTD7,2017-04-19 16:21:58.8533402 -07:00,1031901101,082921107,8,3,3,1,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,400,8.73,8.64,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,572,721,687,721,{A10E8E72-A610-448E-BE59-C544B0D74F2D}
7758,4611,{809890C8-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,CHALLENGE,Bank 1,CB 1101,PGE\CTD7,2017-04-19 17:11:19.0667340 -07:00,1032001101,082921109,8,3,3,1,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,130,2.84,2.81,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,137,150,150,150,{875C2F7D-9CC9-4AF2-AFC4-76E3AFA08CED}
7762,4611,{FF363C0F-0E49-11E6-95F2-D4BED91EFF1A},NORTH VALLEY,CHALLENGE,Bank 1,CB 1102,PGE\CTD7,2017-04-19 16:48:39.3520135 -07:00,1032001102,082921110,8,3,3,1,137,2.99,2.96,137,2.99,2.96,150,3.27,3.24,150,3.27,3.24,150,3.27,3.24,150,3.27,3.24,150,3.27,3.24,150,3.27,3.24,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,137,150,150,150,{D89DD30A-A9F2-4673-A353-7629BDF56893}
7763,4612,{941FA288-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,KANAKA,Bank 1,CB 1101,PGE\CTD7,2017-04-19 17:01:02.9082130 -07:00,1032201101,022090401,8,3,3,1,137,2.99,2.96,137,2.99,2.96,173,3.78,3.74,164,3.58,3.54,165,3.6,3.56,165,3.6,3.56,206,4.5,4.46,206,4.5,4.46,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,137,179,165,206,{A81AF0DB-9EA2-449A-8AE7-3F3EC8D34E15}
7764,4614,{74EA794E-BD6E-11E6-93A9-D4BED91EFF1A},SAN FRANCISCO,MARINA (SF F),4kv Main Bus,CB D-E BUS TIE (Non-SCADA),PGE\DMAL,2017-04-19 17:36:19.3723895 -07:00,,022090403,3,3,3,2,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,2000,14.41,14.27,,,FALSE,FALSE,4000,4000,4000,4000,{BB418E3A-CC5C-4CF2-93BF-79E8FAF7ECD4}
7765,4617,{A0864EC7-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,OROVILLE,Bank 2,CB 1101,PGE\WRA4,2017-05-25 21:36:23.5777422 -07:00,1025201101,083801101,8,3,3,1,578,12.61,12.48,500,10.91,10.8,600,13.09,12.96,500,10.91,10.8,600,13.09,12.96,500,10.91,10.8,600,13.09,12.96,500,10.91,10.8,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,733,953,879,962,{B84CCA5D-4C72-4C5F-9326-05EAFD95825F}
7766,4617,{A0864ED7-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,OROVILLE,Bank 2,CB 1102,PGE\CTD7,2017-04-19 19:30:31.1072738 -07:00,1025201102,022090405,8,3,3,1,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,733,953,879,962,{F4411DC9-FE91-4844-BFD6-40EB58FB4FFD}
7767,4619,{A0864EEA-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,OROVILLE,Bank 3,CB 1103,PGE\CTD7,2017-04-19 20:06:02.2642568 -07:00,1025201103,083801103,8,3,3,1,430,9.38,9.29,430,9.38,9.29,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,430,559,516,646,{0DAF5302-B91F-45EF-B95F-12AE8F090F32}
7768,4619,{A0864F01-0B21-11E6-9D37-D4BED91EFF1A},NORTH VALLEY,OROVILLE,Bank 3,CB 1104,PGE\CTD7,2017-04-19 20:09:20.1384620 -07:00,1025201104,022090407,8,4,4,2,430,9.38,9.29,430,9.38,9.29,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,500,10.91,10.8,Transferred info from old capability sheets.  Did not field verify.,,FALSE,FALSE,430,559,516,646,{906AFA3B-7B8E-4A78-89EC-9E1676195AA5}
7771,4621,{9405791D-5045-11E6-8DC6-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1250/12,PGE\LMSQ,2017-04-19 21:57:00.1654136 -07:00,,022090409,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{F7221E0A-7E23-4458-A763-3D3E05CFC540}
7772,4621,{9D61DA88-BB3F-11E6-93A9-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1250/22,PGE\LMSQ,2017-04-19 21:57:15.8905160 -07:00,,083801104,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{01E81591-8F0F-4932-BDF1-42AC44E0C912}
7773,4621,{EFDF1DE0-BB39-11E6-93A9-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1350/12,PGE\LMSQ,2017-04-19 21:58:08.1671213 -07:00,,022090411,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{564AA9E5-8471-450F-98AC-AD36E2EC2E1B}
7774,4621,{AE1C1A07-BB3F-11E6-93A9-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1350/22,PGE\LMSQ,2017-04-19 21:58:31.1463632 -07:00,,022090413,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{A6C469D2-CB36-415B-8B42-57F04E5A444F}
7775,4621,{FDDD877E-BB39-11E6-93A9-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1450/12,PGE\LMSQ,2017-04-19 21:58:50.4439343 -07:00,,083801105,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{D8F41533-34E3-4A38-9BD1-695F5A5C329B}
7776,4621,{BA98CBEE-BB3F-11E6-93A9-D4BED91EFF1A},PENINSULA,SF H MARTIN,12kv Buses,CB 1450/22,PGE\LMSQ,2017-04-19 21:59:08.8990892 -07:00,,022090402,7,4,4,2,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,3000,64.8,64.15,,,FALSE,FALSE,3120,3650,4115,4460,{40CE279A-525F-4674-A11C-7C3A39E815EF}
7778,3859,{32E4384A-D1C5-11E5-8ECE-9CB70D532D7F},PENINSULA,WOODSIDE,Bank 2,CB 1103 (Under Construction),PGE\LMSQ,2017-04-19 22:03:22.3415630 -07:00,024251103,022090404,8,4,4,2,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,1200,26.19,25.93,,,FALSE,FALSE,1374,1787,1649,2061,{41A8C867-D2EB-4666-81D6-555AA2FA454E}
