100282241,EC,OPEN,NTTX_60DA_RECH,41441283,{00000000-0000-0000-0000-000000000000},ED.NTTX,JY,ZN-ECUGN,458,20150407,20150407,00000000,20150606,E,,,,,,
100282289,EC,OPEN,NTTX_60DA_RECH,41441308,{00000000-0000-0000-0000-000000000000},ED.NTTX,JY,ZN-ECUGN,458,20150408,20150408,00000000,20150607,E,,,,,,
100282290,EC,OPEN,NTTX_60DA_RECH,41441308,{00000000-0000-0000-0000-000000000000},ED.NTTX,JY,ZN-ECUGN,458,20150408,20150408,00000000,20150607,E,,,,,,
100282355,EC,OPEN,NTTX_60DA_RECH,41441334,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.60-B050600000.STRU.ENCL.VLT7964.P02,ZN-ECUGN,458,20150409,20150409,00000000,20150608,E,,,,,,
100282356,EC,OPEN,NTTX_60DA_RECH,41441333,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01201.1101.NETW,ZN-ECUGN,458,20150409,20150409,00000000,20150608,E,,,,,,
100282565,EC,OPEN,NTPR_60DA_RECH,41441337,{00000000-0000-0000-0000-000000000000},ED.NTPR,ED.60-B050600000.STRU.ENCL.VLT7964.P02,ZN-ECUGN,483,20150414,20150414,00000000,20150613,E,,,,,,
100282850,EC,OPEN,NTTX_60DA_RECH,41441633,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.26-F522000000.STRU.ENCL.VLT101C.P01,ZN-ECUGN,458,20150424,20150424,00000000,20150623,E,,,,,,
100282852,EC,OPEN,NTTX_60DA_RECH,41441634,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150424,20150424,00000000,20150623,E,,,,,,
100282854,EC,OPEN,NTTX_60DA_RECH,41441637,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150424,20150424,00000000,20150623,E,,,,,,
100283008,PR,OPEN,TRANSFORMER OIL DIAGNOSTIC,41032939,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.12110.1111.NETW,ZPR,720,20150429,20131014,00000000,20151231,E,,,,,,
100283011,EC,OPEN,NTTX_60DA_RECH,41441914,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.26-F522000000.STRU.ENCL.VLT101C.P01,ZN-ECUGN,458,20150429,20150429,00000000,20150628,E,,,,,,
100283013,EC,OPEN,NTTX_60DA_RECH,41441915,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150429,20150429,00000000,20150628,E,,,,,,
100283017,EC,OPEN,NTTX_60DA_RECH,41441916,{00000000-0000-0000-0000-000000000000},ED.NTTX,ED.01254.1106.NETW,ZN-ECUGN,458,20150429,20150429,00000000,20150628,E,,,,,,
