Folder,MXD,ServiceName,Type,description,cluster,MinInstances,MaxInstances,instancesPerContainer,maxWaitTime,maxIdleTime,keepAliveInterval,maxStartupTime,isolationLevel,configuredState,recycleInterval,maxRecordCount,maxImageHeight,maxImageWidth,antialiasingMode,textAntialiasingMode,maxUsageTime,RunningStatus,FeatureService,kml,wms,recycleStartTime,capabilities,schemaLockingEnabled,OutputDirectory,serverName,maxDomainCodeCount,skipPublishing
Data,RuralMapView.mxd,RuralMapView,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,Schematics.mxd,Schematics,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,Schematics_250.mxd,Schematics_250,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,Secondary_50.mxd,Secondary_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,StreetLight_50.mxd,StreetLight_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,Substation.mxd,Substation,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,Tlm.mxd,Tlm,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,UFM_50.mxd,UFM_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,WIP_Notes.mxd,WIP_Notes,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,TRUE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,WIPRedlines_Data.mxd,WIPRedlines_Data,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,TRUE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
Data,WIPRedlines_Search.mxd,WIPRedlines_Search,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,4096,4096,None,Force,600,STARTED,FALSE,TRUE,FALSE,0:00,Map;Query;Data,TRUE,D:\arcgisserver\directories\arcgisoutput,DVEDGMAPPLX001,250000,FALSE
