Folder,MXD,ServiceName,Type,description,cluster,MinInstances,MaxInstances,instancesPerContainer,maxWaitTime,maxIdleTime,keepAliveInterval,maxStartupTime,isolationLevel,configuredState,recycleInterval,maxRecordCount,maxImageHeight,maxImageWidth,antialiasingMode,textAntialiasingMode,maxUsageTime,RunningStatus,FeatureService,kml,wms,recycleStartTime,capabilities,schemaLockingEnabled,OutputDirectory,serverName,ArcFMMapServer,maxDomainCodeCount,notCreatedInstance,totaltransations
Data,Publication.mxd,Publication,MapServer,,default,7,7,1,60,1800,1800,300,HIGH,STARTED,24,25000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,PublicationFS.mxd,PublicationFS,MapServer,,default,12,12,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,TRUE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,RealTime.mxd,RealTime,MapServer,,default,4,4,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Redlines.mxd,Redlines,MapServer,,default,3,3,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,TRUE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Primary_50.mxd,Primary_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,RuralMapView.mxd,RuralMapView,MapServer,,default,8,8,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Schematics.mxd,Schematics,MapServer,,default,5,5,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Schematics_250.mxd,Schematics_250,MapServer,,default,3,3,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Secondary_50.mxd,Secondary_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,StreetLight_50.mxd,StreetLight_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Substation.mxd,Substation,MapServer,,default,3,3,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,Tlm.mxd,Tlm,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,UFM_50.mxd,UFM_50,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,WIP_Notes.mxd,WIP_Notes,MapServer,,default,1,2,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,TRUE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,WIPRedlines_Data.mxd,WIPRedlines_Data,MapServer,,default,7,7,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,TRUE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,150000,0,0
Data,WIPRedlines_Search.mxd,WIPRedlines_Search,MapServer,,default,7,7,1,60,1800,1800,300,HIGH,STARTED,24,1000,20000,20000,None,Force,600,STARTED,FALSE,FALSE,FALSE,21:00,Map;Query;Data,TRUE,\\sfshare04-nas2\sfgispoc_data\ApplicationDevelopment\ArcGISServer10.6_QA\arcgisserver\directories\arcgisoutput,edgisappoqa53,TRUE,25000,0,0
